pattern,Label
"VAR VAR VAR STR VAR STR VAR. VAR VAR NUM VAR VAR VAR NOT VAR VAR VAR NUM VAR VAR) VAR VAR""",Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR LIKE VAR VAR VAR VAR VAR VAR. VAR""",Safe
"VAR VAR VAR ) COMMENT """,Attack
"VAR IS VAR AND VAR VAR VAR VAR VAR VAR FROM VAR VAR VAR VAR VAR VAR. VAR VAR NOT LIKE VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR!""",Safe
"NUM COMMENT """,Attack
"NUM ) AND ( ( ( STR EQ 'VAR""",Attack
"VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR IS VAR VAR VAR STR VAR NOT VAR VAR VAR VAR VAR VAR VAR""",Safe
"NUM ) ) ) AND STR VAR STR LIKE STR VAR""",Attack
"VAR VAR VAR IS VAR AND VAR VAR IS VAR""",Safe
"VAR""",Safe
"NUM ) ) ) AND ( ( ( STR EQ 'VAR""",Attack
"OR VAR""",Attack
"VAR EQ NUM OR STR ) @ STR TAUTOLOGY COMMENT NUM """,Attack
"NULL COMMENT """,Attack
"AND VAR VAR VAR VAR VAR VAR VAR VAR.""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR """,Safe
"VAR VAR. VAR IS VAR STR VAR VAR VAR """,Safe
"NUM ) ) ) COMMENT """,Attack
"VAR ( ) COMMENT NUM """,Attack
"VAR IS VAR VAR VAR VAR VAR VAR """,Safe
"VAR VAR' VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR """,Safe
"NUM ) AND STR LIKE 'VAR""",Attack
"NUM COMMENT """,Attack
"VAR VAR VAR VAR?""",Safe
"NUM COMMENT """,Attack
"NUM COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( ( STR VAR STR LIKE STR VAR""",Attack
"NUM ) AND ( ( ( STR EQ '""",Attack
"NUM ) ) ) ) +'""",Attack
"VAR VAR VAR VAR VAR VAR VAR! LT VAR / GT LT VAR / GT VAR VAR*/VAR VAR STR COMMENT VAR""",Attack
"NUM ) ) ) COMMENT """,Attack
"VAR VAR VAR.""",Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) COMMENT """,Attack
"NUM COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR. VAR! LT VAR / GT LT VAR / GT VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR: NUM / NUM (VAR'VAR VAR VAR VAR). VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR""",Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( STR EQ 'VAR""",Attack
"VAR VAR VAR'VAR VAR VAR VAR VAR LIKE VAR AND VAR VAR. VAR""",Safe
"NUM ) ) ) AND ( ( STR VAR STR EQ STR VAR""",Attack
"VAR VAR VAR ) COMMENT """,Attack
"NULL ) COMMENT """,Attack
"VAR'VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR ) COMMENT """,Attack
"NUM COMMENT """,Attack
"VAR VAR VAR VAR""",Safe
"VAR VAR IS VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR VAR STR VAR VAR VAR VAR VAR AND VAR. VAR STR VAR' VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR . VAR VAR""",Safe
"NULL COMMENT """,Attack
"NUM EQ NUM VAR ( SELECT ( VAR VAR ( NUM EQ NUM ) VAR NUM VAR VAR VAR ) ) ) ||'""",Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( ( STR EQ '""",Attack
"VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"AND VAR'VAR VAR VAR VAR VAR""",Safe
"NULL COMMENT """,Attack
"STR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR! NOT VAR VAR VAR VAR. VAR""",Safe
"VAR VAR AND VAR VAR NOT VAR VAR VAR VAR VAR WHERE LIKE. VAR VAR IS VAR AND VAR VAR NOT VAR""",Attack
"VAR ( VAR ) ) COMMENT """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR NUM VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR """,Safe
"VAR VAR VAR VAR VAR!""",Safe
"VAR VAR VAR ) VAR NUM VAR ) ) """,Attack
"NUM ) AND STR % STR EQ STR """,Attack
"VAR.VAR. VAR-VAR VAR. VAR VAR VAR'VAR VAR VAR VAR VAR""",Safe
"VAR) LT ) ). SEMI """,Attack
"VAR VAR VAR VAR VAR. VAR VAR VAR STR VAR VAR VAR VAR VAR. AND VAR VAR VAR VAR VAR. VAR""",Safe
"VAR GT \VAR COMMENT ^!+VAR(-`?VAR SEMI VAR EQ ~-\VAR]|-VAR EQ )VAR+VAR+VAR[VAR COMMENT %VAR-^$*VAR\VAR\~VAR)VAR)~VAR% STR OR NUM EQ ( SELECT NUM FROM VAR ( NUM ) ) AND STR % STR EQ STR """,Attack
"AND IS VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR (VAR) VAR VAR VAR""",Safe
"VAR""",Safe
"""",Safe
"| LT VAR$VAR*VAR)VAR(`+/VAR*VAR/| LT $(VAR!-VAR.VAR~ VAR*VAR/%&(VAR|VAR| COMMENT VAR]@VAR% SEMI VAR/ NUM &VAR( NUM EQ ] NUM }VAR@VAR~$VAR} VAR$VAR SEMI \. LT VAR|VAR$-VAR@@VAR?~ COMMENT VAR]VAR`VAR){@VAR/VAR EQ VAR*VAR-VAR]VAR-VAR+VAR@VAR@VAR%:/VAR$-:VAR LT NUM STR ) ) ) """,Attack
"NUM ) ) ) COMMENT """,Attack
"NULL COMMENT """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR VAR IS VAR VAR-VAR VAR VAR VAR OR VAR VAR VAR VAR VAR VAR STR NUM STR AND ( NUM EQ NUM ) * NUM """,Attack
"VAR VAR VAR VAR VAR VAR STR VAR STR AND VAR VAR VAR AND VAR VAR VAR VAR/ VAR VAR VAR) AND VAR VAR VAR VAR-VAR VAR VAR VAR VAR (VAR VAR""",Safe
"NULL ) COMMENT """,Attack
"VAR LT VAR / GT LT VAR / GT AND VAR/VAR VAR """,Safe
"VAR""",Safe
"NUM ) COMMENT """,Attack
"AND VAR IS VAR VAR""",Safe
"VAR VAR VAR ) AND ( ( ( STR LIKE 'VAR""",Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) COMMENT VAR""",Attack
"VAR.""",Safe
"NUM ) COMMENT VAR""",Attack
"NUM ) COMMENT """,Attack
"AND VAR VAR """,Safe
"NUM ) ) ) COMMENT """,Attack
"VAR VAR IS VAR (VAR VAR) AND VAR """,Safe
"VAR VAR VAR ) COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) COMMENT """,Attack
"VAR VAR IS VAR VAR""",Safe
"VAR ( VAR ) ) COMMENT """,Attack
"VAR & VAR IS VAR VAR VAR VAR VAR. VAR VAR VAR VAR FROM VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR""",Attack
"NULL COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR'VAR VAR VAR AND VAR VAR """,Safe
"VAR VAR VAR VAR VAR.""",Safe
"NUM ) ) ) AND ( ( ( STR EQ 'VAR""",Attack
"VAR VAR VAR ) AND ( STR EQ '""",Attack
"VAR VAR VAR VAR VAR VAR.""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR""",Safe
"VAR VAR VAR VAR AND VAR AND VAR VAR VAR COMMENT VAR VAR VAR VAR VAR. */ ( ( STR EQ '""",Attack
"VAR VAR STR VAR (VAR VAR """,Safe
"NOT VAR VAR (VAR VAR VAR VAR VAR) NOT VAR""",Safe
"VAR VAR*/) ) TAUTOLOGY AND ( ( ( STR EQ '""",Attack
"NUM ) """,Attack
"OR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR.""",Safe
"VAR VAR VAR VAR VAR-VAR VAR VAR""",Safe
"VAR ) ) VAR ) ) AND ( STR EQ '""",Attack
"\VAR+-VAR.[``)VAR-VAR.VAR` COMMENT NUM SEMI EQ `:}\ NUM $VAR/VAR+ COMMENT VAR`\VAR\: COMMENT %VAR SEMI ?VAR. SEMI VAR GT VAR!-VAR{VAR)%-VAR` NUM SEMI +VAR +VAR! GT VAR:/ NUM +VAR/VAR}- VAR%~]VAR\}VAR*(VAR|VAR LT +| NUM + NUM /VAR&[VAR)VAR(.VAR:VAR VAR-.VAR`| NUM GT VAR%VAR.VAR[%VAR*VAR COMMENT VAR`VAR.VAR-?!(VAR|VAR-VAR COMMENT VAR EQ {& NUM (?!VAR SEMI VAR-VAR GT VAR.]VAR-[VAR|?~{^VAR COMMENT VAR! COMMENT \%VAR-VAR[: COMMENT VAR&VAR\VAR & NUM EQ .VAR!VAR?VAR-VAR SEMI VAR EQ +-{VAR`VAR~` NUM +VAR?VAR]VAR+VAR@\VAR!$ EQ VAR LT .(!VAR LT -SELECT ( VAR VAR ( NUM EQ NUM ) VAR NUM VAR NUM * ( SELECT NUM FROM VAR..VAR ) VAR ) COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( ( STR VAR STR EQ STR VAR""",Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR""",Safe
"VAR VAR VAR ) COMMENT """,Attack
"VAR ) ) VAR ) ) COMMENT """,Attack
"VAR% STR % STR """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR STR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR'VAR VAR VAR VAR""",Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( STR VAR STR LIKE STR VAR""",Attack
"VAR VAR VAR AND VAR VAR! NOT VAR VAR VAR VAR VAR VAR.""",Safe
"AND VAR VAR VAR VAR VAR VAR VAR.""",Safe
"VAR VAR VAR LIKE VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR.""",Safe
"NUM COMMENT """,Attack
"VAR'VAR LIKE VAR VAR VAR NUM . NUM VAR """,Safe
"VAR VAR VAR NOT VAR VAR VAR VAR AND VAR'VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR*/ NUM EQ NUM TAUTOLOGY COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) COMMENT """,Attack
"VAR VAR.""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR...""",Safe
"VAR OR VAR VAR VAR VAR VAR VAR VAR. VAR VAR'VAR VAR VAR VAR IS VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR ( NUM ) ) COMMENT """,Attack
"VAR VAR VAR VAR """,Safe
"VAR VAR VAR""",Safe
"VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR""",Safe
"( SELECT VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) + ( SELECT ( VAR VAR ( NUM EQ NUM ) VAR VAR ( NUM ) VAR VAR ( NUM ) VAR ) ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) ) ) AND ( STR EQ 'VAR""",Attack
"NUM COMMENT """,Attack
"VAR VAR VAR ) AND ( ( ( STR LIKE 'VAR""",Attack
"NUM ) ) ) """,Attack
"VAR*VAR[/ COMMENT VAR VAR STR AND ( ( STR EQ 'VAR""",Attack
"NUM ) COMMENT VAR""",Attack
"VAR VAR VAR VAR STR VAR STR VAR'VAR """,Safe
"VAR VAR VAR VAR AND VAR VAR VAR""",Safe
"VAR IS VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR (VAR VAR VAR VAR""",Safe
"VAR VAR'VAR VAR VAR NOT VAR VAR(OR VAR VAR VAR VAR) IS VAR VAR.VAR VAR VAR VAR!!! LT VAR / GT LT VAR / GT *VAR VAR VAR*""",Safe
"NUM ) COMMENT """,Attack
"AND VAR VAR VAR VAR VAR VAR VAR VAR. VAR'VAR VAR VAR""",Safe
"VAR VAR AND VAR VAR-VAR VAR VAR VAR- VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR'VAR VAR AND VAR VAR """,Safe
"AND VAR VAR. VAR. LT VAR / GT LT VAR / GT VAR VAR VAR""",Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( STR VAR STR LIKE STR VAR""",Attack
"VAR?) VAR VAR: VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR-VAR VAR VAR.""",Safe
"NUM COMMENT """,Attack
"VAR VAR VAR ) AND ( STR EQ '""",Attack
"VAR VAR""",Safe
"NUM ) ) ) COMMENT VAR""",Attack
"( SELECT VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) + ( SELECT ( VAR VAR ( NUM EQ NUM ) VAR VAR ( NUM ) VAR VAR ( NUM ) VAR ) ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) ) ) AND ( STR % STR EQ STR """,Attack
"STR VAR VAR VAR STR AND STR VAR VAR VAR VAR""",Safe
"VAR VAR(VAR""",Safe
"VAR VAR VAR NUM NUM NUM """,Safe
"VAR/ )\ ) && ( COMMENT (! ( STR VAR STR LIKE STR VAR""",Attack
"NUM ) AND ( ( ( STR EQ '""",Attack
"VAR""",Safe
"VAR VAR STR VAR STR VAR VAR VAR VAR""",Safe
"VAR VAR-VAR""",Safe
"NULL COMMENT """,Attack
"NUM COMMENT """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR""",Attack
"NUM ) ) ) AND ( STR EQ '""",Attack
"NUM COMMENT """,Attack
"OR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR. VAR VAR VAR VAR VAR VAR VAR FROM VAR VAR VAR VAR IS VAR VAR VAR VAR VAR VAR OR VAR VAR STR VAR VAR'SELECT ( VAR VAR ( NUM EQ NUM ) VAR NUM VAR NUM * ( SELECT NUM FROM VAR..VAR ) VAR ) COMMENT """,Attack
"NUM COMMENT """,Attack
"NUM EQ NUM """,Attack
"VAR VAR VAR.""",Safe
"NUM ) COMMENT VAR""",Attack
"VAR'VAR VAR VAR LIKE VAR. NUM / NUM """,Safe
"NULL COMMENT """,Attack
"VAR VAR VAR VAR (OR VAR VAR VAR VAR) VAR VAR VAR VAR VAR VAR""",Attack
"VAR VAR VAR ) AND ( STR VAR STR EQ STR VAR""",Attack
"VAR STR VAR VAR VAR VAR'""",Safe
"NULL COMMENT """,Attack
"VAR STR VAR VAR.""",Safe
"NUM COMMENT """,Attack
"VAR VAR VAR ) AND STR EQ '""",Attack
"VAR VAR""",Safe
"AND VAR VAR VAR""",Safe
"VAR VAR VAR ) COMMENT """,Attack
"NUM ) AND ( ( STR EQ '""",Attack
"VAR ( NUM ) ) COMMENT """,Attack
"NUM ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR STR VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR ) AND ( ( STR EQ '""",Attack
"VAR ( VAR STR ( VAR ) *VAR ) ) VAR FROM ( SELECT (SELECT VAR) UNION_SELECT VAR VAR*SELECT VAR UNION_SELECT (SELECT VAR) ) VAR VAR VAR VAR ) AND STR VAR STR EQ STR VAR STR EQ AND TRUE COMMENT AND STR VAR STR NOT LIKE STR VAR? STR OR FALSE && SEMI TRUE AND TRUE OR STR NOT LIKE STR OR (SELECT VAR) && TRUE OR FALSE COMMENT """,Attack
"VAR VAR IS VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR """,Safe
"NUM COMMENT """,Attack
"NUM ) ) ) AND ( ( ( STR EQ 'VAR""",Attack
"NUM ) ) ) COMMENT VAR""",Attack
"NUM COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM VAR.VAR VAR VAR VAR ) VAR ) AND ( ( ( STR EQ 'VAR""",Attack
"NUM ) AND ( ( ( STR VAR STR EQ STR VAR""",Attack
"VAR""",Attack
"NUM ) COMMENT """,Attack
"VAR VAR VAR (VAR VAR NOT VAR VAR VAR VAR VAR VAR). AND VAR VAR VAR VAR VAR VAR.""",Safe
"NULL COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR NOT VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR. VAR.""",Safe
"NULL ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"AND VAR.""",Safe
"VAR VAR VAR VAR NOT VAR VAR VAR. LT VAR / GT LT VAR / GT VAR! VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR """,Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"NULL {{ OR~.^.FALSE COMMENT VAR*VAR\VAR""",Attack
"\VAR@VAR-)VAR SEMI %. LT $VAR)VAR-VAR LT VAR SEMI VAR{VAR COMMENT :VAR$}-. NUM }VAR}VAR^ NUM *-VAR/&`VAR!VAR/`VAR GT |VAR\ SEMI SEMI VAR SEMI VAR!$VAR`VAR}VAR`\\+! NUM ! LT $VAR COMMENT \ SEMI VAR-VAR(VAR[VAR+- NUM STR ) OR NUM EQ ( SELECT VAR ( VAR ( VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) || ( SELECT ( VAR VAR ( NUM EQ NUM ) VAR NUM VAR NUM VAR ) FROM VAR ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ) ) FROM VAR ) AND ( STR VAR STR LIKE STR VAR""",Attack
"VAR VAR VAR ) COMMENT """,Attack
"NUM ) AND ( STR % STR EQ STR """,Attack
"VAR""",Safe
"VAR VAR VAR ) COMMENT """,Attack
"NUM COMMENT """,Attack
"}?VAR:\? GT VAR{VAR{[VAR LT VAR*}VAR EQ VAR!VAR LT VAR GT VAR-&^VAR*VAR LT [VAR~/ EQ } NUM )-VAR?VAR&~[(**^VAR}VAR""",Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"""",Safe
"NULL ) COMMENT """,Attack
"NUM ) COMMENT """,Attack
"VAR'VAR VAR VAR. VAR VAR VAR VAR VAR-VAR VAR VAR """,Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) COMMENT """,Attack
"STR IS VAR. STR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR ) """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"""",Safe
"-VAR ) } ) SEMI ) :AND? COMMENT '( SEMI ( ( VAR EQ VAR!VAR SEMI VAR-VAR+VAR*VAR""",Attack
"VAR AND VAR VAR VAR VAR VAR. VAR'VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR ) AND ( ( STR VAR STR LIKE STR VAR""",Attack
"""",Attack
"VAR VAR VAR'VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR-VAR VAR-VAR. LT VAR / GT LT VAR / GT VAR VAR VAR IS VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR - VAR VAR-VAR-VAR-VAR VAR VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR'SELECT ( VAR VAR ( NUM EQ NUM ) VAR NUM VAR VAR ( NUM VAR VAR ) / ( SELECT NUM FROM VAR ) VAR ) FROM VAR COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( ( STR LIKE 'VAR""",Attack
"VAR VAR VAR IS VAR VAR VAR VAR VAR VAR VAR AND VAR VAR. LT VAR /*/ NUM FROM VAR ( NUM ) ) AND ( NUM EQ NUM """,Attack
"NUM ) COMMENT """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR ) )^ { ) OR VAR OR FALSE OR SEMI STR NEQ STR OR STR NEQ STR AND TRUE AND (SELECT (SELECT NUM )) && .TRUE OR FALSE+OR FALSE AND TRUE COMMENT """,Attack
"VAR ) ) VAR ) ) AND STR EQ '""",Attack
"VAR VAR VAR VAR VAR""",Safe
"VAR ( NUM ) ) COMMENT """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR LIKE VAR VAR VAR VAR VAR VAR """,Safe
"VAR'VAR VAR-VAR. VAR VAR VAR*/ EQ NUM OR STR @? STR TAUTOLOGY COMMENT NUM """,Attack
"NULL COMMENT """,Attack
"VAR""",Safe
"AND NOT VAR VAR VAR-VAR.""",Safe
"NUM COMMENT """,Attack
"VAR VAR""",Safe
"NUM ) """,Attack
"VAR VAR VAR ) """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) """,Attack
"NUM ) ) ) AND ( ( STR VAR STR LIKE STR VAR""",Attack
"NUM COMMENT """,Attack
"VAR$VAR VAR VAR AND ( NUM EQ NUM """,Attack
"NUM COMMENT """,Attack
"VAR ) ) VAR ) ) AND ( ( STR VAR STR LIKE STR VAR""",Attack
"VAR VAR VAR ) """,Attack
"VAR VAR VAR VAR VAR""",Safe
"NUM ) AND ( STR EQ 'VAR""",Attack
"VAR VAR AND VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR.""",Safe
"VAR VAR ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR.""",Safe
"NUM EQ NUM OR ( NUM EQ NUM ) * NUM COMMENT """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR GT NUM .VAR VAR LT VAR\VAR|VAR STR ) ) AND ( SELECT * FROM ( SELECT ( VAR ( NUM ) ) ) VAR ) COMMENT """,Attack
"NUM COMMENT """,Attack
"NULL COMMENT """,Attack
"NUM ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR VAR : NUM VAR VAR NUM LT VAR / GT LT VAR / GT """,Safe
"VAR VAR VAR TRUE VAR OR NOT.""",Safe
"AND VAR. VAR VAR'VAR VAR VAR VAR VAR VAR VAR VAR VAR (VAR VAR VAR VAR VAR STR VAR""",Safe
"VAR.VAR VAR VAR ) AND ( ( STR % STR EQ STR """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR """,Attack
"VAR VAR VAR ) VAR NUM VAR ) ) """,Attack
"VAR. LT VAR / GT LT VAR / GT VAR VAR VAR*/ EQ 'VAR""",Attack
"VAR VAR VAR""",Safe
"VAR'VAR VAR VAR AND VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR""",Safe
"NUM ) ) ) COMMENT """,Attack
"VAR VAR VAR IS VAR VAR VAR. VAR VAR IS VAR """,Safe
"VAR ) ) ) AND ( SELECT * FROM ( SELECT ( VAR ( NUM ) ) ) VAR ) COMMENT """,Attack
"VAR?VAR& NUM VAR$VAR* NUM ?VAR/VAR/}VAR~VAR^VAR~VAR(VAR{|^^VAR/!| SEMI |VAR]VAR-[VAR EQ VAR-VAR-VAR!(VAR} SEMI NUM ' ) AND VAR ( NUM ) """,Attack
"VAR VAR VAR ) AND ( STR VAR STR LIKE STR VAR""",Attack
"VAR VAR STR VAR VAR) VAR VAR VAR VAR VAR VAR VAR VAR VAR STR AND VAR VAR VAR STR VAR VAR VAR? VAR. LT VAR / GT LT VAR / GT VAR VAR VAR VAR VAR VAR VAR AND VAR """,Safe
"VAR ) ) AND ( ( STR LIKE 'VAR""",Attack
"NUM COMMENT """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR """,Safe
